,accumulated_reward,epsilon,terminated,truncated,not_finalized,episode_steps,loss,accuracy
206,-620.0,0.35102347433345177,False,False,True,150,2.040215253829956,0.765625
207,-470.0,0.3457971562815772,False,False,True,150,2.8540234565734863,0.75
208,-21.0,0.34576257656594905,False,True,False,1,1.2404060363769531,0.796875
209,-108.0,0.34514073266283607,False,True,False,18,2.055494785308838,0.8359375
210,-470.0,0.340002001570911,False,False,True,150,1.6245898008346558,0.7578125
211,-610.0,0.33493978001476654,False,False,True,150,3.1473309993743896,0.7578125
212,-470.0,0.3299529288592819,False,False,True,150,2.302673816680908,0.828125
213,-41.0,0.32959016205721625,False,True,False,11,2.8772711753845215,0.7890625
214,-216.0,0.3274219216382942,False,True,False,66,1.435438632965088,0.8125
215,-174.0,0.32565852055811745,False,True,False,54,3.2936811447143555,0.8125
216,-25.0,0.3254957238604341,False,True,False,5,1.5102362632751465,0.75
217,-234.0,0.3227728756091101,False,True,False,84,1.3231689929962158,0.8359375
218,-31.0,0.3227405983215492,False,True,False,1,1.2081093788146973,0.8203125
219,-21.0,0.3227083242617171,False,True,False,1,2.7422637939453125,0.8203125
220,-175.0,0.3206174184130832,False,True,False,65,2.1045145988464355,0.8203125
221,-500.0,0.3158438100246997,False,False,True,150,2.003305196762085,0.75
222,-317.0,0.31248213023230276,False,True,False,107,1.5669044256210327,0.7890625
223,-490.0,0.30782964651672673,False,False,True,150,1.3121187686920166,0.78125
224,-21.0,0.3077988635520751,False,True,False,1,2.1136186122894287,0.7265625
225,-205.0,0.3064168115117565,False,True,False,45,2.1400527954101562,0.875
226,-480.0,0.30185463310917926,False,False,True,150,2.240342617034912,0.7734375
227,-294.0,0.29992883628936884,False,True,False,64,1.1694906949996948,0.8203125
228,-21.0,0.2998988434057399,False,True,False,1,2.3207287788391113,0.8125
229,-293.0,0.29771744457057137,False,True,False,73,2.15401029586792,0.765625
230,-57.0,0.2972117296081491,False,True,False,17,1.9465925693511963,0.796875
231,-264.0,0.29472548361806805,False,True,False,84,1.7996444702148438,0.8046875
232,-21.0,0.2946960110697062,False,True,False,1,1.4401319026947021,0.78125
233,-630.0,0.2903083413123101,False,False,True,150,1.0478652715682983,0.828125
234,-188.0,0.2883408432899207,False,True,False,68,1.1954421997070312,0.765625
235,-37.0,0.28813906524110394,False,True,False,7,2.107276439666748,0.8359375
236,-303.0,0.28518631798367866,False,True,False,103,1.1508549451828003,0.7890625
237,-545.0,0.2813619838114694,False,True,False,135,1.441845178604126,0.7890625
238,-166.0,0.2800706265159819,False,True,False,46,2.560595750808716,0.8125
239,-236.0,0.2771174099129002,False,True,False,106,0.9303382635116577,0.7734375
240,-31.0,0.27708969817190887,False,True,False,1,1.757896900177002,0.796875
241,-174.0,0.27532189870484325,False,True,False,64,1.4756779670715332,0.703125
242,-25.0,0.2751842652849276,False,True,False,5,1.493667721748352,0.8125
243,-29.0,0.2749366984893947,False,True,False,9,1.521294116973877,0.8046875
244,-156.0,0.2734012793918534,False,True,False,56,1.3730429410934448,0.8046875
245,-108.0,0.272364274236762,False,True,False,38,1.8458149433135986,0.796875
246,-212.0,0.27013990833255214,False,True,False,82,1.5808141231536865,0.8046875
247,-23.0,0.27005887446397947,False,True,False,3,1.245553970336914,0.7890625
248,-24.0,0.2699508671166461,False,True,False,4,1.3039882183074951,0.8359375
249,-480.0,0.2659316228407186,False,False,True,150,1.124123454093933,0.8671875
250,-630.0,0.2619722202860723,False,False,True,150,2.1465094089508057,0.8046875
251,-231.0,0.25959896908808966,False,True,False,91,1.163164496421814,0.8203125
252,-33.0,0.25952109718507277,False,True,False,3,1.9220846891403198,0.6953125
253,-126.0,0.25807176848133034,False,True,False,56,1.2363309860229492,0.7890625
254,-480.0,0.25422938972061015,False,False,True,150,1.8766200542449951,0.828125
255,-610.0,0.2504442193660155,False,False,True,150,2.1848907470703125,0.7578125
